code,fr,ar,it,en,de,ru,zh,ja,pt,es
1,Manufacture,صناعة,Manifattura,Manufacturing,Herstellung,Производство,生产制造,製造,Indústria,Manufactura
2,Construction,بناء,Costruzioni,Construction,Bau,Строительство,建筑,建設,Construção,Construcción
3,Commerce,تجارة,Commercio,Retail,Handel,Торговля,贸易,小売,Comércio,Comercio
4,Transports,نقل,Trasporti,Transport,Transport/Logistik,Транспорт/Логистика,交通运输/物流,輸送,Transportes,Transportes
5,Hospitalité,فندقة,Ricettività,Hospitality,Gastronomie,Гастрономия,餐饮业,宿泊,Hotelaria,Hotelería
6,Information,إعلام,Informazione,Information,Informatik/IT,Информатика/IT,信息/IT,情報,Informações,Información
7,Finance,مالية,Finanza,Finance,Finanzbranche,Финансы,金融业,金融,Finanças,Finanzas
8,Immobilier,عقارات,Immobiliare,Real estate,Immobilien,Недвижимость,房地产,不動産,Imóveis,Bienes inmuebles
9,Sciences & techniques,علوم وتقنيات,Scienze & tecniche,Science & tech,Wissenschaft & Technik,Наука и техника,科研&技术,科学技術,Ciência e tecnologia,Ciencia y tecnología
10,Admin.,إدارة,Amm.,Admin.,Verwaltung,Менеджмент,管理,行政,Administração,Admin.
11,Admin. publique,إدارة عمومية,Amm. pubblica,Public admin.,Öffentliche Verwaltung,Общественное управление,公共管理,公共サービス,Administração pública,Admin. Pública
12,Enseignement,تعليم,Insegnamento,Education,Bildung,Образование,教育,教育,Ensino,Enseñanza
13,Santé & social,صحة وشؤون اجتماعية,Sanità & socialità,Health & welfare,Gesundheit & Soziales,Здравоохранение,健康&社会福利,医療・福祉,Saúde & Social,Salud y s. social
14,Arts,فنون,Arti,Arts,Künste,Культура/искусство,艺术,芸術,Artes,Artes
15,Autres services,خدمات أخرى,Altri servizi,Other services,Andere Dienstleistungen,Другие услуги,其他服务行业,その他,Outros serviços,Otros servicios
16,Industrie manufacturière,صناعات تحويلية,Attività manifatturiere,Manufacturing industry,Produktionsindustrie,Промышленность,制造业,製造・加工業,Indústria,Industria manufacturera
17,Construction*,قطاع البناء*,Costruzioni*,Construction*,Bau*,Строительство*,建筑*,建設業*,Construção*,Construcción*
18,Commerce et réparation d’automobiles,الإتجار في السيارات وتصليحها,Commercio e riparazione d’auto,Automobile sales and repair,Handel und Autoreparaturen,Торговля автомашинами и ремонт,贸易及汽车维修,卸売・小売業、自動車整備業,Comércio e reparação de automóveis,Comercio y reparación de automóviles
19,Transports et entreposage,النقل والتخزين,Trasporti e immagazzinamento,Transport and storage,Förder- und Lagertechnik,Добывающая и логистическая техника,材料加工及储备技术,運輸業,Transportes e estocagem,Transportes y almacenaje
20,Hébergement et restauration*,الإقامة والإطعام*,Servizi di alloggio e ristorazione*,Hotels and restaurants*,Unterkunft und Verpflegung*,Питание и гостиничные услуги*,酒店及餐饮业*,宿泊業、飲食サービス業*,Hotelaria e Gastronomia*,Hospedaje y restauración*
21,Information et communication,الإعلام والإتصال,Informazione e comunicazione,Information and communication,Information und Kommunikation,Информация и коммуникация,信息及通信,情報通信業,Informação e comunicação,Información y comunicación
22,Activités financières et d'assurances*,معاملات مالية وتأمينات*,Attività finanziarie e assicurative*,Finance and insurance activities*,Finanz- und Versicherungsdienstleistungen*,Финансы и страхование*,金融及保险服务*,金融業、保険業*,Atividades financeiras e de seguros*,Actividad financiera y aseguradoras*
23,Activités immobilières,أنشطة عقارية,Attività immobiliari,Real estate activities,Grundstücks- und Wohnungswesen,Жилье и земельные участки,房地产及住宅行业,不動産業,Atividades imobiliárias,Actividad inmobiliaria
24,"Activ. spécialisées, scientifiques et techniques",أنشطة متخصصة، علمية وتكنولوجية,"Attiv. specialistiche, scientifiche, tecniche",Specialised scientific and technical activities,"Freiberufliche, wissenschaftliche und technische Tätigkeiten","Свободные, творческие, научные профессии",自由职业、科技类别工作,学術研究、専門・技術サービス業,"Atividades especilizadas, científicas e técnicas",Activ. Especializadas
25,Activités de services admin. et de soutien*,أنشطة خدمية في مجال الإدارة والدعم*,Attività ammin. e di serv. di supporto*,Admin. and support activities*,Unterstützende Dienste*,Техподдержка*,配套服务*,行政、支援活動*,Atividades de serviços administrativos e de apoio*,Actividades administrativas*
26,"Admin. publique, défense, sécurité sociale",إدارة عمومية، دفاع وتأمينات اجتماعية,"Amm. pubblica e difesa, ass. sociale obbl.","Public admin., defence, social security",Verteidigung und soziale Sicherheit,Оборона и социальная безопасность,国防及社会保障,公共サービス、治安、社会保障,"Administração pública, defesa, seguridade","Admin. Pública, defensa, seguridad social"
27,Enseignement,التعليم,Insegnamento,Education,Bildung,Образование,教育,教育,Ensino,Enseñanza
28,Santé humaine et action sociale,الصحة البشرية والعمل الإجتماعي,Sanità e assistenza sociale,Health and welfare,Sozial- und Gesundheitsarbeit,Социальная работа и здравоохранение,社会工作者及健康卫生行业,健康、社会福祉活動,Saúde e ação social,Salud humana y acción social
29,"Arts, spectacles et activités récréatives",فنون وعروض وأنشطة ترفيهية,"Att. artistiche, d'intrattenimento e divertimento","Arts, performance and leisure activities","Kunst, Unterhaltung und Erholung","Искусство, развлечение, консалтинг",艺术、娱乐及休闲保健,芸術、演劇、娯楽,"Arte, espetáculos e atividades recreativas","Artes, espectáculos y recreación"
30,Autres activités de services,أنشطة خدمية أخرى,Altre attività di servizi,Other service-related activities,Sonstige Dienstleistungen,Другие услуги,其他服务性行业,その他のサービス業,Outras atividades de serviços,Otras actividades de servicios
title,Inégalité salariale entre les sexes: larges disparités selon les branches économiques,عدم المساواة في الأجور بين الجنسين: فوارق شاسعة حسب القطاعات الإقتصادية,Disparità salariale tra uomini e donne: differenze sensibli tra i settori economici,Gender salary inequalities: large differences depending on the sector,Lohnungleichheit zwischen den Geschlechtern: grosse Unterschiede je nach Wirtschaftszweig,Неравенство в оплате труда между мужчинами и женщинами: значительные различия между секторами экономики,男女工资差异：不同经济领域间的区别很大,男女間の賃金格差：業界によって格差は大きい,Desigualdade salarial entre os sexos: grandes disparidades entre os setores econômicos,Brecha salarial entre hombres y mujeres: grandes diferencias según el sector de actividad
